,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,82,63529a606a25cb799b40988c,2022-10-21T13:10:56.611Z,itsyaboi#2591,divine_comedian#5493,for completing the quantification introduction animated video! amazing animation and voice over work!,63529a286a25cb799b409876,0,6349afba6a25cb799b40971e,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,4.13,144,False,for completing the quantification introduction animated video! amazing animation and voice over work!
5,80,63529a286a25cb799b409876,2022-10-21T13:10:00.021Z,itsyaboi#2591,divine_comedian#5493,for their amazing work animating the quantification introduction video! it's finally done and it looks GREAT!,0,0,6349afba6a25cb799b40971e,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,45.02,144,False,for their amazing work animating the quantification introduction video! it's finally done and it looks GREAT!
6,46,634872406a25cb799b4096d4,2022-10-13T20:17:04.833Z,Juankbell#7458,BiancaGadelha#2667,for representing Gravity at Devcon ğŸŒ±,6345e21e6a25cb799b4095a7,0,6345e21e6a25cb799b4095a7,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,2.35,89,False,for representing Gravity at Devcon ğŸŒ±
19,62,634ed98c6a25cb799b4097b7,2022-10-18T16:51:24.146Z,durgadas#9280,BiancaGadelha#2667,for his work on Gravityâ€™s website getting the Hosting is purchased,0,0,6345e32c6a25cb799b4095d4,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,13.53,34,False,for his work on Gravityâ€™s website getting the Hosting is purchased
20,9,6345ac0d6a25cb799b409507,2022-10-11T17:46:53.919Z,acidlazzer#5796,Zeptimus#3359,for carry comms in his shoulders for the last weeksğŸ™Œ â¤ï¸,0,0,0,6345aa986a25cb799b4094d4,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,14.28,34,False,for carry comms in his shoulders for the last weeksğŸ™Œ â¤ï¸
39,44,634871d26a25cb799b4096b6,2022-10-13T20:15:14.937Z,Zeptimus#3359,BiancaGadelha#2667,for his time working on the Gravityâ€™s proposal ğŸ•Šï¸,6345e1dc6a25cb799b409589,6345e1dc6a25cb799b409589,6345e1dc6a25cb799b409589,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,0.73,13,False,for his time working on the Gravityâ€™s proposal ğŸ•Šï¸
55,73,63503b1b6a25cb799b409834,2022-10-19T17:59:55.519Z,Zeptimus#3359,BiancaGadelha#2667,for coming to the Gravity Coordination Call,0,0,6345e1dc6a25cb799b409589,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,1.45,8,False,for coming to the Gravity Coordination Call
57,18,6345dc9c6a25cb799b40956b,2022-10-11T21:14:04.501Z,acidlazzer#5796,elzenteno#1251,for helping and being a good guide during these 3 weeks on TEC and for the hosting the Comms Sync today,0,6345ac0d6a25cb799b409507,0,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,7.45,13,False,for helping and being a good guide during these 3 weeks on TEC and for the hosting the Comms Sync today
70,36,6346e5bc6a25cb799b409652,2022-10-12T16:05:16.225Z,r33pich33p#6906,BiancaGadelha#2667,for coming to Gravity's Coordination Call today! ğŸ•Š,6346e57a6a25cb799b40962d,0,6346e57a6a25cb799b40962d,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,0.1,3,False,for coming to Gravity's Coordination Call today! ğŸ•Š
71,35,6346e5bb6a25cb799b40964b,2022-10-12T16:05:15.909Z,durgadas#9280,BiancaGadelha#2667,for coming to Gravity's Coordination Call today! ğŸ•Š,6346e5796a25cb799b409626,0,6346e5796a25cb799b409626,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,0.1,3,False,for coming to Gravity's Coordination Call today! ğŸ•Š
72,37,6346e5bc6a25cb799b409659,2022-10-12T16:05:16.467Z,Juankbell#7458,BiancaGadelha#2667,for coming to Gravity's Coordination Call today! ğŸ•Š,6346e57b6a25cb799b409634,0,6346e57b6a25cb799b409634,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,0.1,3,False,for coming to Gravity's Coordination Call today! ğŸ•Š
75,74,63503b1b6a25cb799b40983b,2022-10-19T17:59:55.820Z,durgadas#9280,BiancaGadelha#2667,for coming to the Gravity Coordination Call,0,0,6346e5796a25cb799b409626,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,1.32,3,False,for coming to the Gravity Coordination Call
76,76,63503b1c6a25cb799b409849,2022-10-19T17:59:56.353Z,Juankbell#7458,BiancaGadelha#2667,for coming to the Gravity Coordination Call,0,0,6346e57b6a25cb799b409634,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,1.32,3,False,for coming to the Gravity Coordination Call
86,34,6346e5bb6a25cb799b409644,2022-10-12T16:05:15.661Z,Zeptimus#3359,BiancaGadelha#2667,for coming to Gravity's Coordination Call today! ğŸ•Š,6346e5796a25cb799b40961f,0,6346e5796a25cb799b40961f,0,divine_comedian#5493,Maxwe11#7157,osycross(ğŸ¦ğŸ¦)#5943,Mettodo#7010,0.05,1,False,for coming to Gravity's Coordination Call today! ğŸ•Š
